,carpark_number,update_datetime,id,total_lots,lot_type,lots_available,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
48,J57,2021-04-14T23:36:24,48,362,C,335,0.073549724,0.059046961,0.056975138,0.05801105,0.054558011,0.05801105,0.064571823,0.098756906,0.171270718,0.318370166,0.446823204,0.584254144,0.70718232,0.753798343,0.737914365,0.801450276,0.797651934,0.76968232,0.757596685,0.778314917,0.703038674,0.541781768,0.237223757,0.109116022
49,J57L,2021-04-14T23:36:24,49,13,C,12,0.211538462,0.144230769,0.173076923,0.173076923,0.182692308,0.221153846,0.365384615,0.480769231,0.557692308,0.644230769,0.826923077,0.836538462,0.961538462,0.932692308,0.875,0.990384615,0.923076923,0.836538462,0.615384615,0.778846154,0.682692308,0.557692308,0.490384615,0.307692308
50,J33,2021-04-14T23:34:50,50,111,C,22,0.808558559,0.822072072,0.831081081,0.845720721,0.862612613,0.850225225,0.802927928,0.721846847,0.620495495,0.43018018,0.417792793,0.438063063,0.441441441,0.416666667,0.411036036,0.448198198,0.487612613,0.492117117,0.525900901,0.577702703,0.632882883,0.676801802,0.713963964,0.791666667
51,J34,2021-04-14T23:35:05,51,123,C,39,0.708333333,0.713414634,0.726626016,0.731707317,0.742886179,0.743902439,0.701219512,0.625,0.443089431,0.354674797,0.325203252,0.341463415,0.336382114,0.337398374,0.452235772,0.283536585,0.289634146,0.327235772,0.429878049,0.486788618,0.558943089,0.590447154,0.62398374,0.668699187
52,BL8,2021-04-14T23:35:48,52,689,C,297,0.580551524,0.575108853,0.565493469,0.585087083,0.607402032,0.620101597,0.625362845,0.629716981,0.635341074,0.592162554,0.571298984,0.579825835,0.680152395,0.750907112,0.613751814,0.546806967,0.548802612,0.586538462,0.648403483,0.781386067,0.834724238,0.828374456,0.689586357,0.615021771
53,J36,2021-04-14T23:36:29,53,482,C,73,0.84776971,0.862292531,0.867479253,0.871887967,0.875778008,0.871628631,0.853215768,0.757002075,0.566390041,0.440093361,0.400674274,0.364885892,0.3656639,0.371109959,0.361773859,0.363329876,0.375,0.397043568,0.446058091,0.543827801,0.645746888,0.706431535,0.762448133,0.813278008
54,J54,2021-04-14T23:36:45,54,226,C,132,0.453539823,0.421460177,0.392699115,0.396017699,0.397123894,0.405973451,0.463495575,0.499446903,0.655420354,0.66039823,0.64380531,0.650442478,0.724557522,0.746681416,0.613384956,0.605088496,0.587942478,0.631084071,0.681415929,0.803650442,0.830752212,0.772123894,0.579646018,0.48949115
55,J55,2021-04-14T23:34:58,55,141,C,93,0.345744681,0.319148936,0.314716312,0.311170213,0.315602837,0.314716312,0.375886525,0.390957447,0.507978723,0.52748227,0.531028369,0.544326241,0.601950355,0.679078014,0.505319149,0.461879433,0.438829787,0.451241135,0.463652482,0.554078014,0.62322695,0.566489362,0.428191489,0.35106383
56,J43,2021-04-14T23:35:54,56,190,C,39,0.784868421,0.807236842,0.823684211,0.830263158,0.827631579,0.825,0.801973684,0.678947368,0.536184211,0.401973684,0.363157895,0.363157895,0.361842105,0.394736842,0.366447368,0.364473684,0.340789474,0.365789474,0.413157895,0.490131579,0.573684211,0.621052632,0.673026316,0.732894737
57,J46,2021-04-14T23:37:05,57,63,C,36,0.444444444,0.41468254,0.406746032,0.430555556,0.446428571,0.468253968,0.603174603,0.80952381,0.964285714,1,0.982142857,0.990079365,0.990079365,0.98015873,0.922619048,0.970238095,0.986111111,0.946428571,0.922619048,0.962301587,0.984126984,0.938492063,0.682539683,0.515873016
58,KB1,2021-04-14T23:37:02,58,239,C,68,0.795502092,0.808577406,0.826882845,0.828451883,0.825313808,0.82374477,0.806485356,0.734832636,0.638075314,0.588389121,0.642782427,0.697175732,0.757322176,0.835251046,0.731171548,0.643828452,0.67834728,0.70292887,0.752615063,0.792887029,0.887552301,0.89958159,0.836820084,0.811715481
59,GBM,2021-04-14T23:37:02,59,677,C,325,0.516986706,0.529911374,0.540620384,0.546344165,0.54985229,0.550406204,0.545420975,0.489844904,0.437776957,0.40232644,0.372599705,0.359675037,0.349150665,0.358936484,0.34471935,0.349519941,0.326994092,0.341395864,0.351920236,0.358936484,0.391248154,0.415251108,0.436853767,0.469534712
60,SE14,2021-04-14T23:36:39,60,187,C,31,0.798128342,0.812165775,0.823529412,0.830882353,0.828877005,0.824197861,0.815508021,0.722593583,0.642379679,0.594251337,0.544117647,0.522727273,0.515374332,0.514705882,0.443181818,0.445855615,0.414438503,0.473930481,0.503342246,0.610294118,0.671122995,0.689839572,0.727272727,0.725935829
61,SE50,2021-04-14T23:36:39,61,591,C,325,0.419416244,0.430203046,0.438451777,0.442470389,0.444373942,0.441624365,0.442258883,0.393189509,0.335659898,0.284686971,0.259306261,0.252538071,0.243654822,0.24534687,0.246404399,0.252538071,0.254441624,0.269035533,0.281514382,0.303087986,0.326565144,0.352580372,0.374576988,0.39213198
62,J40,2021-04-14T23:34:57,62,206,C,31,0.875,0.901699029,0.914441748,0.921723301,0.916868932,0.898665049,0.879854369,0.726334951,0.569174757,0.458131068,0.435679612,0.440533981,0.47026699,0.538834951,0.42657767,0.4375,0.446601942,0.504854369,0.57038835,0.680825243,0.774878641,0.790048544,0.828883495,0.841019417
63,JM1,2021-04-14T23:35:36,63,341,C,177,0.47983871,0.490835777,0.490102639,0.494868035,0.496334311,0.496334311,0.492668622,0.447214076,0.367302053,0.323313783,0.269061584,0.250366569,0.228372434,0.229105572,0.234970674,0.247800587,0.257697947,0.267228739,0.272727273,0.289956012,0.346041056,0.388929619,0.430351906,0.464076246
64,J32,2021-04-14T23:35:36,64,199,C,73,0.630653266,0.641959799,0.65138191,0.656407035,0.663944724,0.657663317,0.630025126,0.540829146,0.42839196,0.385050251,0.353643216,0.326633166,0.333542714,0.322864322,0.34861809,0.327261307,0.337311558,0.361809045,0.442839196,0.524497487,0.57160804,0.594849246,0.60741206,0.616834171
65,A11,2021-04-14T23:36:23,65,368,C,137,0.641304348,0.660665761,0.666100543,0.682404891,0.651834239,0.666100543,0.685461957,0.676630435,0.788383152,0.743206522,0.713654891,0.65013587,0.646059783,0.672554348,0.53294837,0.473845109,0.441576087,0.456521739,0.487092391,0.533288043,0.600203804,0.622622283,0.635190217,0.645040761
66,TR1,2021-04-14T23:37:08,66,391,C,130,0.699808184,0.714194373,0.721547315,0.72826087,0.717710997,0.719309463,0.702685422,0.66016624,0.586956522,0.525575448,0.508951407,0.510230179,0.530370844,0.534846547,0.501918159,0.523976982,0.498401535,0.488491049,0.475383632,0.538363171,0.614130435,0.644181586,0.653132992,0.663682864
67,JBM,2021-04-14T23:36:42,67,342,C,213,0.385964912,0.40497076,0.410453216,0.416666667,0.413377193,0.411184211,0.400950292,0.360745614,0.30628655,0.268640351,0.251461988,0.241959064,0.233918129,0.234649123,0.220394737,0.229166667,0.24378655,0.252192982,0.255847953,0.263888889,0.285818713,0.314327485,0.340277778,0.377923977
