,carpark_number,update_datetime,id,total_lots,lot_type,lots_available,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
57,J46,2021-04-12T23:51:28,57,63,C,33,0.466269841,0.444444444,0.432539683,0.458333333,0.466269841,0.507936508,0.607142857,0.80952381,0.964285714,0.986111111,0.988095238,0.996031746,0.990079365,1,0.984126984,0.988095238,0.978174603,0.942460317,0.982142857,0.990079365,0.98015873,0.926587302,0.670634921,0.523809524
58,KB1,2021-04-12T23:51:59,58,239,C,51,0.810146444,0.824790795,0.828974895,0.835774059,0.826359833,0.824790795,0.821129707,0.766736402,0.64748954,0.621861925,0.625523013,0.70292887,0.7541841,0.859832636,0.77039749,0.671025105,0.607217573,0.655857741,0.688284519,0.735355649,0.858263598,0.860878661,0.804393305,0.77039749
59,GBM,2021-04-12T23:51:59,59,677,C,322,0.511078287,0.52437223,0.532496307,0.538220089,0.54006647,0.542466765,0.538404727,0.487813885,0.422451994,0.372599705,0.35062777,0.329579025,0.313884786,0.324039882,0.305206795,0.313700148,0.315731167,0.322747415,0.333641064,0.35542836,0.38183161,0.414327917,0.452917282,0.495199409
60,SE14,2021-04-12T23:52:32,60,187,C,39,0.754679144,0.764705882,0.788770053,0.803475936,0.786096257,0.78342246,0.777406417,0.690508021,0.622326203,0.573529412,0.509358289,0.519385027,0.506016043,0.544117647,0.464572193,0.447860963,0.43315508,0.451203209,0.522058824,0.64973262,0.667780749,0.695187166,0.764037433,0.756016043
61,SE50,2021-04-12T23:52:32,61,591,C,335,0.427241963,0.438874788,0.445854484,0.447335025,0.444796954,0.444585448,0.445854484,0.399534687,0.331852792,0.283629442,0.257191201,0.254864636,0.249788494,0.241116751,0.25,0.247250423,0.254018613,0.266708968,0.283629442,0.318104907,0.339043993,0.364213198,0.384517766,0.406937394
62,J40,2021-04-12T23:52:38,62,206,C,29,0.842839806,0.871359223,0.891990291,0.902305825,0.902305825,0.886529126,0.870145631,0.723907767,0.578883495,0.469660194,0.474514563,0.472694175,0.530946602,0.595873786,0.469053398,0.461771845,0.459951456,0.526699029,0.594660194,0.726334951,0.850121359,0.858009709,0.827669903,0.845873786
63,JM1,2021-04-12T23:52:15,63,341,C,181,0.478372434,0.489369501,0.493768328,0.495967742,0.497800587,0.497434018,0.494501466,0.450513196,0.373167155,0.325146628,0.268695015,0.242302053,0.223240469,0.221774194,0.233504399,0.240835777,0.251466276,0.253665689,0.269061584,0.306085044,0.352639296,0.395527859,0.428152493,0.457844575
64,J32,2021-04-12T23:52:15,64,199,C,68,0.655778894,0.663944724,0.671482412,0.676507538,0.677135678,0.673994975,0.648241206,0.568467337,0.444723618,0.384422111,0.314698492,0.334798995,0.32160804,0.325376884,0.364321608,0.337939698,0.319723618,0.358040201,0.471733668,0.570979899,0.604271357,0.621231156,0.638190955,0.653894472
65,A11,2021-04-12T23:52:07,65,368,C,135,0.64673913,0.659307065,0.662024457,0.673913043,0.650475543,0.659986413,0.678328804,0.671195652,0.758491848,0.696671196,0.686141304,0.614470109,0.608355978,0.630434783,0.510869565,0.465692935,0.435122283,0.429008152,0.454144022,0.519701087,0.574728261,0.602581522,0.614130435,0.62669837
66,TR1,2021-04-12T23:51:27,66,391,C,129,0.702365729,0.707161125,0.71483376,0.719948849,0.724744246,0.724424552,0.709398977,0.672953964,0.587276215,0.543478261,0.530370844,0.554028133,0.574168798,0.596867008,0.574488491,0.583759591,0.560102302,0.569693095,0.569053708,0.643542199,0.703644501,0.665920716,0.720268542,0.694053708
