Carpark,LotType,CarparkID,Latitude,Longitude,Agency,Weekday,Saturdays,Sundays.PublicHolidays,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_basement,sheltered
BLK 64 LENGKOK BAHRU,C,LBM,1.289296904,103.8152284,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 64 LENGKOK BAHRU,H,LBM,1.289296904,103.8152284,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
"BLK 110,113-116 LENGKONG TIGA",Y,LT1,1.323036536,103.9115756,HDB,"7am-10.30pm: $0.65 per lot, 10.30pm-7am: $0.65 per lot",Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,NO,YES,N,N
"BLK 110,113-116 LENGKONG TIGA",C,LT1,1.323036536,103.9115756,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,NO,YES,N,N
"BLK 110,113-116 LENGKONG TIGA",H,LT1,1.323036536,103.9115756,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,NO,YES,N,N
BLK 111-112 LENGKONG TIGA,Y,LT2,1.323908174,103.9108737,HDB,"7am-10.30pm: $0.65 per lot, 10.30pm-7am: $0.65 per lot",Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,7am-10.30pm,NO,NO,N,N
BLK 111-112 LENGKONG TIGA,C,LT2,1.323908174,103.9108737,HDB,7am-10.30pm: $0.60 per half-hour,Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,7am-10.30pm,NO,NO,N,N
BLK 111-112 LENGKONG TIGA,H,LT2,1.323908174,103.9108737,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,7am-10.30pm,NO,NO,N,N
BLK 101-109 LENGKONG TIGA,Y,LT3,1.325035931,103.9104926,HDB,"7am-10.30pm: $0.65 per lot, 10.30pm-7am: $0.65 per lot",Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,7am-10.30pm,NO,NO,N,N
BLK 101-109 LENGKONG TIGA,C,LT3,1.325035931,103.9104926,HDB,7am-10.30pm: $0.60 per half-hour,Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,7am-10.30pm,NO,NO,N,N
