Carpark,LotType,CarparkID,Latitude,Longitude,Agency,Weekday,Saturdays,Sundays.PublicHolidays,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_basement,sheltered
BLK 22A TEBAN GARDENS RD,C,TGM3,1.323261329,103.7393284,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 57A TEBAN GARDENS RD,C,TGM4,1.322522222,103.7372518,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 64 AND 65 TEBAN GARDENS RD,C,TGML,1.321749687,103.7393415,HDB,Season Parking only,Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,No,NO,NO,N,N
BLK 151/154 YUNG HO ROAD,C,TJ27,1.327008532,103.7211008,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 364 YUNG AN ROAD,C,TJ28,1.337119757,103.7204589,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 155A YUNG LOH ROAD,C,TJ29,1.328086177,103.7222703,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 163A YUNG PING ROAD,C,TJ30,1.330101424,103.7222392,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 331A KANG CHING ROAD,C,TJ31,1.33859457,103.7228702,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 346A KANG CHING ROAD,C,TJ32,1.340049501,103.720183,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 328A TAH CHING ROAD,C,TJ33,1.337109414,103.7232498,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 115A HO CHING ROAD,C,TJ34,1.333949932,103.7245092,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 183A CORPORATION DRIVE,C,TJ35,1.332900639,103.722484,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 121A YUAN CHING RD,C,TJ36,1.336207856,103.7245298,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 337 TAH CHING ROAD,C,TJ37,1.338282534,103.7225283,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
175 YUNG KUANG ROAD,C,TJ38,1.332313569,103.7217797,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
138 YUAN CHING ROAD,C,TJ39,1.3278375,103.7233188,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 331A TAMPINES STREET 32,C,TM10,1.353353646,103.9602551,HDB,7am-10.30pm: $0.60 per half-hour,Same as weekdays,Same as weekdays,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7am-10.30pm,NO,NO,N,Y
BLK 384A TAMPINES STREET 32,C,TM11,1.354400372,103.9585245,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,Same as weekdays,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,NO,YES,N,Y
BLK 390A TAMPINES AVENUE 7,C,TM12,1.355797193,103.9572147,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 374A TAMPINES STREET 34,C,TM13,1.356357094,103.9591007,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 891B TAMPINES AVENUE 8,C,TM14,1.349053032,103.9305553,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 450B TAMPINES STREET 42,C,TM15,1.357730625,103.9522237,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 230A TAMPINES STREET 21,C,TM16,1.355754807,103.9502311,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 842A TAMPINES STREET 82,C,TM17,1.351249841,103.9380026,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 856A TAMPINES STREET 82,C,TM18,1.352397971,103.9380349,HDB,7am-10.30pm: $0.60 per half-hour,Same as weekdays,Same as weekdays,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7am-10.30pm,NO,NO,N,Y
BLK 364A TAMPINES STREET 34,C,TM19,1.357342655,103.9593449,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 366A TAMPINES STREET 34,C,TM20,1.358142718,103.9610215,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 340A TAMPINES STREET 33,C,TM21,1.351413327,103.9604738,HDB,7am-10.30pm: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7am-10.30pm,SUN & PH FR 7AM-10.30PM,NO,N,Y
BLK 351A TAMPINES STREET 33,C,TM22,1.352264487,103.9628295,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 354A TAMPINES STREET 33,C,TM23,1.354661486,103.9621811,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 359A TAMPINES ST 34,C,TM24,1.355417948,103.9614424,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,Same as weekdays,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,NO,YES,N,Y
BLK 497E TAMPINES STREET 45,C,TM25,1.358714747,103.9584951,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,Same as weekdays,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,NO,YES,N,Y
BLK 497K TAMPINES STREET 45,C,TM26,1.35982668,103.9596252,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,Same as weekdays,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,NO,YES,N,Y
BLK 497L TAMPINES STREET 45,C,TM27,1.360653005,103.9598885,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 498K TAMPINES STREET 45,C,TM28,1.362780183,103.9568641,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 498C TAMPINES STREET 45,C,TM29,1.360685386,103.9591088,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 701A TAMPINES STREET 71,C,TM30,1.35687383,103.9366514,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 716A TAMPINES STREET 71,C,TM31,1.358751856,103.9366554,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 723A TAMPINES STREET 72,C,TM32,1.359535602,103.9352307,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 727A TAMPINES STREET 71,C,TM33,1.356363667,103.9360719,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 730A TAMPINES STREET 71,C,TM34,1.35721981,103.9334329,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 742A TAMPINES STREET 72,C,TM35,1.359914848,103.9341393,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 515 TAMPINES CTRL 7,C,TM36,1.357162986,103.9390733,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,Same as weekdays,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,NO,YES,N,Y
BLK 518 TAMPINES CTRL 7,C,TM37,1.356176844,103.9386072,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,Same as weekdays,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,NO,YES,N,Y
BLK 921A TAMPINES ST 91,C,TM41,1.347523987,103.9414489,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 823A TAMPINES STREET 81,C,TM42,1.348936975,103.9335075,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 202A TAMPINES STREET 21,C,TM43,1.353387178,103.9522347,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 499 TAMPINES AVE 9,C,TM44,1.359200025,103.9563169,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,Same as weekdays,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,NO,YES,N,Y
BLK 869C TAMPINES AVE 8,C,TM45,1.355347417,103.933003,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,Same as weekdays,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,NO,YES,N,Y
BLK 522 TAMPINES CTRL 7,C,TM46,1.358546579,103.9384438,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 519 TAMPINES CENTRAL 8,C,TM47,1.356783796,103.94023,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,Same as weekdays,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,NO,YES,N,Y
BLK 890 TAMPINES AVE 1,C,TM48,1.347078274,103.9341414,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 494F TAMPINES ST 43,C,TM49,1.363979776,103.9530237,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 870B TAMPINES ST 86,C,TM50,1.35644833,103.9311196,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 879C TAMPINES AVE 8,C,TM51,1.351182904,103.9287561,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,Same as weekdays,MULTI-STOREY CAR PARK,COUPON PARKING,Whole Day,NO,YES,N,Y
BLK 68 LORONG 5 TOA PAYOH,C,TP10,1.334916138,103.8535916,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 71/72 LORONG 5 TOA PAYOH,C,TP12,1.334027341,103.852107,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 63/64 LORONG 5 TOA PAYOH,C,TP14,1.335888611,103.8524077,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 53 TO 55 LORONG 5 TOA PAYOH,C,TP15,1.3374794,103.8508335,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 175/183 TO 185 TOA PAYOH TOWN CENTRE,C,TP16,1.333245746,103.8483162,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 177 TO 179 TOA PAYOH TOWN CENTRE,C,TP17,1.333773023,103.8485933,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 186/191 TO 193 TOA PAYOH TOWN CENTRE,C,TP18,1.332589321,103.8507445,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 158-161/163/168-174 LORONG 1 TOA PAYOH,C,TP20,1.33102242,103.8444876,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 148 TO 150 LORONG 1 TOA PAYOH,C,TP22,1.334200937,103.8440423,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 125/126/131 LORONG 2 TOA PAYOH,C,TP27,1.337544128,103.8452676,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 116/122 LORONG 1 TOA PAYOH,C,TP30,1.340605802,103.8463328,HDB,7am-10.30pm: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,7am-10.30pm,SUN & PH FR 7AM-10.30PM,NO,N,N
BLK 109/111 TO 115 LORONG 1 TOA PAYOH,C,TP31,1.341101079,103.845871,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 49 TO 52 LORONG 5 TOA PAYOH,C,TP34,1.337988183,103.8524333,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 43 TO 48 LORONG 5/6 TOA PAYOH,C,TP36,1.336263105,103.8537886,HDB,7am-10.30pm: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,7am-10.30pm,SUN & PH FR 7AM-10.30PM,NO,N,N
BLK 3A LORONG 7 TOA PAYOH,C,TP3A,1.339518206,103.8542126,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 241-259/25-27 KIM KEAT LINK/AVE,C,TP40,1.331687195,103.8567142,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 253/254/256 KIM KEAT AVENUE,C,TP41,1.331969495,103.8582438,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 19 TO 23 LORONG 7 TOA PAYOH,C,TP43,1.334766071,103.8572377,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 8 LORONG 7 TOA PAYOH,C,TP48,1.337571506,103.8566807,HDB,7am-10.30pm: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,7am-10.30pm,SUN & PH FR 7AM-10.30PM,NO,N,N
BLK 4/5 LORONG 7 TOA PAYOH,C,TP49,1.338869601,103.8557427,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 4A LORONG 7 TOA PAYOH,C,TP4A,1.33927119,103.855529,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 1 TO 3 LORONG 7 TOA PAYOH,C,TP50,1.338878433,103.854431,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 210 TO 215 LORONG 8 TOA PAYOH,C,TP52,1.341408653,103.8545392,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 216 TO 221 LORONG 8 TOA PAYOH,C,TP53,1.342442066,103.8555524,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 222 TO 224 LORONG 8 TOA PAYOH,C,TP54,1.341438888,103.8564559,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 236 TO 240 TOA PAYOH LORONG 1,C,TP60,1.34016499,103.8522587,HDB,7am-10.30pm: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,7am-10.30pm,SUN & PH FR 7AM-10.30PM,NO,N,N
BLK 199 TO 201 TOA PAYOH NORTH,C,TP62,1.341419702,103.8504611,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 202 TO 204 TOA PAYOH NORTH,C,TP63,1.341762454,103.8490328,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 25-27/257-259 KIM KEAT AVE,C,TP67,1.332749275,103.8571109,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 196 KIM KEAT AVE,C,TP68,1.331135704,103.8592937,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,NO,YES,N,N
BLK 18A LOR 6 TOA PAYOH,C,TPB1,1.335994695,103.8566064,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 101C LORONG 2 TOA PAYOH,C,TPM2,1.339270204,103.8470872,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 171A LORONG 1 TOA PAYOH,C,TPM3,1.330749004,103.8422339,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 81C LORONG 4 TOA PAYOH,C,TPM4,1.335754158,103.8493461,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 84C LORONG 2 TOA PAYOH,C,TPM5,1.335818685,103.8473399,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 35A LORONG 5 TOA PAYOH,C,TPM6,1.334759982,103.8546234,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 120A LORONG 2 TOA PAYOH,C,TPM7,1.339849706,103.8459218,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 11A LORONG 8 TOA PAYOH,C,TPM8,1.336635251,103.859286,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 10A LORONG 7 TOA PAYOH,C,TPM9,1.337081282,103.857789,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 60A LORONG 4 TOA PAYOH,C,TPMA,1.33650366,103.8511336,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
